,source,edge,target
2518,cambridge analytica,took,data
2519,second,was,effectiveness
2520,nix,bragged about,ability
2521,kogan,mentioned in,his testimony to british parliament s digital culture media
2522,kogan s,dataset,wasn t useful
2523,kogan,mentioned in,his testimony
2524,cambridge analytica,used,facebook data of user
2525,kogan s,dataset,wasn t very useful
2526,cambridge analytica,took,data generated
2527,textual data,has,lot of power
2528,textual data,has,lot
2529,eu,implementing,data protection regulation gdpr
2530,eu,implementing,general data protection regulation gdpr
2531,biostatistician,posting to,https
2532,zand,coefficients of,random effects
2533,zand,βare,coefficients
2534,zand,βare respectively,coefficients of random effects
2535,zand,βare respectively,coefficients
2536,recall stephen,had,hedo
2537,zand,βare,coefficients of random effects
2538,zand,coefficients of,effects
2539,zand,βare respectively,coefficients of effects
2540,zand,βare,coefficients of effects
2541,ml,is subset of,ai
2542,ml,vs. is subset of,ai
2543,ml,focuses on,ability
2544,ml,focuses on,ability of machines
2545,ml,is,subset
2546,ml,is,vs. subset
2547,70,will include,them
2548,70,seen in,image
2549,90,remove,options
2550,90,is,too precise
2551,90,is,precise
2552,90,remove,other options
2553,new york times,spoke to,gomezuribe
2554,one,also implement,such exploreexploit strategies with factorization models
2555,carlos a. gomezuribe,is,former vice president of product innovation
2556,one,implement,such exploreexploit strategies
2557,netflix,was planning,global product
2558,one,also implement,exploreexploit strategies with factorization models
2559,netflix,was planning,streamingbased product
2560,carlos a. gomezuribe,is,former vice president
2561,one,also implement,exploreexploit strategies
2562,one,implement,exploreexploit strategies with factorization models
2563,netflix,was planning,product
2564,one,implement,such exploreexploit strategies with factorization models
2565,netflix,was planning,streamingbased global product
2566,new york times,spoke about,his career
2567,one,also implement,such exploreexploit strategies
2568,one,implement,exploreexploit strategies
2569,11,m for,training examples
2570,rnns,have,capability
2571,rnns,is with,lstm
2572,pink floyd,are better in,conditions than in real life
2573,pink floyd,are much better at,speech recognition systems
2574,pink floyd,are,better at speech recognition systems in ideal conditions than in real life
2575,pink floyd,are better in,ideal conditions than in real life
2576,pink floyd,are,much better at speech recognition systems in ideal conditions than in life
2577,pink floyd,are,much better at speech recognition systems in conditions than in real life
2578,pink floyd,are,much better at speech recognition systems in ideal conditions than in real life
2579,pink floyd,are,better at speech recognition systems in conditions than in real life
2580,pink floyd,are much better in,conditions than in real life
2581,pink floyd,are much better in,ideal conditions than in life
2582,pink floyd,are,much better at speech recognition systems in conditions than in life
2583,pink floyd,are,better at speech recognition systems in conditions than in life
2584,pink floyd,are better at,speech recognition systems
2585,pink floyd,are better in,conditions than in life
2586,pink floyd,are much better in,conditions than in life
2587,pink floyd,are,better at speech recognition systems in ideal conditions than in life
2588,pink floyd,are,much better
2589,pink floyd,are better in,ideal conditions than in life
2590,pink floyd,are much better in,ideal conditions than in real life
2591,pink floyd,are,better
2592,one,can expect,questions
2593,seth stephensdavidowitz,uses examples from,his time as data scientist at google
2594,tetlock,outperform,analytics firms
2595,seth stephensdavidowitz,uses,examples
2596,facebook,is in,terms of fundamental sociological information
2597,tetlock,outperform,top analytics firms
2598,tetlock,was,able
2599,seth stephensdavidowitz,uses examples from,his time as data scientist
2600,seth stephensdavidowitz,uses examples from,his time
2601,ppr data,is,perfect
2602,dublin cork kildare galway,had,greatest number of property purchases
2603,dublin cork kildare galway,had,greatest number
2604,dublin cork kildare galway,number of,property purchases
2605,dublin cork kildare galway,had,number of property purchases
2606,dublin cork kildare galway,had number in,past two years
2607,dublin cork kildare galway,number,meath
2608,ppr data,is,near perfect
2609,dublin cork kildare galway,greatest number,meath
2610,ppr data,is,nowhere perfect
2611,dublin cork kildare galway,had,meath
2612,ppr data,is,nowhere near perfect
2613,dublin,have,6w
2614,dublin cork kildare galway,had,number
2615,dublin cork kildare galway,greatest number of,property purchases
2616,kruijswijk,gone through,great lengths
2617,kruijswijk,gone,robin van emden
2618,kruijswijk,build,robin van emden
2619,kruijswijk,gone through,lengths
2620,google amazon,are throwing,world
2621,s,explain,some of algorithms
2622,s,explain,some used algorithms
2623,s,explain,some frequently used algorithms
2624,lda,assigns document to,mixture
2625,s,explain,some of most frequently used algorithms
2626,s,explain,some most frequently used algorithms
2627,s,explain,some algorithms
2628,s,explain,some of frequently used algorithms
2629,nlp,is booming,thanks
2630,microsoft,launched on,16-Mar
2631,nlp,is booming thanks at_time,today
2632,nlp,is booming,thanks to huge improvements
2633,lda,assigns,document
2634,nlp,is booming,thanks to improvements
2635,s,explain,some
2636,s,explain,some of used algorithms
2637,s,count,words
2638,don t,expect,perfect model
2639,don t,expect,model
2640,ibm,is in,2002
2641,stance mitre,used,neural network rnn model organized into 4 layers
2642,2018,been year in,field
2643,2018,been,exciting year
2644,mitre,used,embeddings pretrained on massive twitter dataset similar distribution
2645,mitre,applied transfer learning via,use
2646,mitre,also applied,transfer learning
2647,mitre,used,embeddings pretrained on twitter dataset distribution
2648,stance mitre,used,recurrent neural network rnn model
2649,2018,been exciting year in,field
2650,mitre,used,embeddings pretrained on twitter dataset similar distribution
2651,stance mitre,used,recurrent neural network rnn model organized
2652,stance mitre,used,network rnn model
2653,mitre,applied transfer learning via,use of word embeddings
2654,stance mitre,used,neural network rnn model
2655,2018,been hugely exciting year in,field
2656,mitre,also applied transfer learning via,use of word embeddings
2657,2018,been year in,field in particular
2658,stance mitre,used,network rnn model organized
2659,stance mitre,used,recurrent neural network rnn model organized into 4 layers
2660,stance mitre,used,recurrent network rnn model organized into 4 layers
2661,mitre,applied,transfer learning
2662,stance mitre,used,network rnn model organized into 4 layers
2663,stance mitre,used,recurrent network rnn model
2664,2018,been hugely exciting year in,field in particular
2665,stance mitre,used,recurrent network rnn model organized
2666,mitre,used,embeddings pretrained on massive twitter dataset distribution
2667,2018,been,exciting
2668,2018,been,year
2669,2018,been exciting year in,field in particular
2670,mitre,used,embeddings
2671,mitre,used,embeddings pretrained
2672,2018,been,hugely exciting year
2673,stance mitre,used,neural network rnn model organized
2674,mitre,also applied transfer learning via,use
2675,one,is understanding of,dataset
2676,first,is size of,dataset
2677,first,is,enormous size
2678,first,is enormous size of,dataset
2679,first,is,size
2680,model.py,contains,model
2681,96.55,97.22,recall
2682,model.py,contains,actual model
2683,pjreddie.comprojectsmnistincsvto,convert dataset into,csv format
2684,pjreddie.comprojectsmnistincsvto,convert,dataset
2685,loadimgid pil,is,python imaging library
2686,kubernetes,automates,deployment scaling of applications
2687,kubernetes,automates,deployment scaling
2688,kubernetes,automates,deployment scaling of containerized applications
2689,lambda blueprint,has already populated,code
2690,kinesis stream,is,selected
2691,lambda blueprint,has populated,code
2692,lambda blueprint,has populated code with,predefined rules
2693,lambda blueprint,has populated code with,rules
2694,lambda blueprint,has already populated code with,predefined rules
2695,lambda blueprint,has already populated code with,rules
2696,jeff hale,outlined,technology skills most commonly listed
2697,jeff hale,outlined,technology skills commonly listed
2698,jeff hale,outlined,technology skills commonly listed in data science job postings
2699,jeff hale,outlined,technology skills most listed
2700,jeff hale,outlined,technology skills listed in data science job postings
2701,jeff hale,outlined,technology skills most commonly listed in data science job postings
2702,tableau,can,can connected to additional data sources
2703,jeff hale,outlined,technology skills listed
2704,tableau,can,can connected
2705,jeff hale,scraped,job
2706,jeff hale,outlined,technology skills
2707,jeff hale,outlined,technology skills most listed in data science job postings
2708,jeff hale,scraped,several job
2709,knowledge graphs,also allow,you
2710,kinda,borrowed definition of,machine learning machine learning
2711,knowledge graphs,allow,you
2712,kinda,definition of,machine learning machine learning
2713,kinda,borrowed and personalized definition of,machine learning machine learning
2714,china,notably visible,india
2715,china,visible,india
2716,kaplan,also explained,vision
2717,kaplan,explained,moderate vision
2718,kaplan,explained,vision
2719,kaplan,also explained,moderate vision
2720,ucl,is in,london
2721,transformerxl,presents,results for language modeling on several different datasets bigsmall characterswords etc
2722,transformerxl,presents,results for language modeling on datasets bigsmall characterswords etc
2723,transformerxl,presents,results
2724,transformerxl,relies on,vanilla transformer alrfou
2725,transformerxl,presents,results for language modeling on different datasets bigsmall characterswords etc
2726,transformerxl,presents,stateoftheart results for language modeling on different datasets bigsmall characterswords
2727,stateoftheart sota,results on,language modeling datasets
2728,transformerxl,presents,results for language modeling on datasets bigsmall characterswords
2729,transformerxl,heavily relies on,vanilla transformer alrfou
2730,transformerxl,presents,results for language modeling
2731,transformerxl,presents,stateoftheart results for language modeling on several different datasets bigsmall characterswords etc
2732,transformerxl,presents,results for language modeling on several datasets bigsmall characterswords
2733,transformerxl,presents,results for language modeling on several different datasets bigsmall characterswords
2734,transformerxl,presents,results for language modeling on different datasets bigsmall characterswords
2735,transformerxl,presents,stateoftheart results for language modeling on different datasets bigsmall characterswords etc
2736,transformerxl,presents,stateoftheart results for language modeling
2737,transformerxl,presents,stateoftheart results for language modeling on datasets bigsmall characterswords etc
2738,transformerxl,presents,stateoftheart results for language modeling on several different datasets bigsmall characterswords
2739,transformerxl,relies from,two shortcomings
2740,transformerxl,presents,results for language modeling on several datasets bigsmall characterswords etc
2741,transformerxl,presents,stateoftheart results for language modeling on several datasets bigsmall characterswords etc
2742,transformerxl,presents,stateoftheart results
2743,transformerxl,heavily relies from,two shortcomings
2744,transformerxl,presents,stateoftheart results for language modeling on several datasets bigsmall characterswords
2745,stateoftheart sota,results on,multiple language modeling datasets
2746,transformerxl,presents,stateoftheart results for language modeling on datasets bigsmall characterswords
2747,us,train,performance language models
2748,mudano,has collected,dataset of project status updates across number of it transformation projects
2749,us,train custom language model on,gpu
2750,mudano,has collected,dataset of project status updates across number of large it transformation projects
2751,mudano,has collected,small dataset of project status updates
2752,mudano,has collected,dataset across number of large it transformation projects
2753,fastai.text,uses,awdlstm model
2754,mudano,has collected,dataset across number
2755,mudano,has collected,small dataset across number of it transformation projects
2756,us,train custom language model on,modest gpu
2757,us,train,our custom language modelbefore
2758,mudano,has collected,small dataset of project status updates across number of large it transformation projects
2759,us,train,custom language model
2760,mudano,has collected,small dataset of project status updates across number
2761,fastai.text,uses awdlstm model by,default
2762,us,train custom language model in,matter of minutes
2763,mudano,has collected,dataset
2764,us,s,ready
2765,mudano,has collected,dataset of project status updates
2766,mudano,has collected,dataset across number of it transformation projects
2767,mudano,has collected,small dataset across number of large it transformation projects
2768,mudano,has collected,small dataset
2769,us,s,amazingly ready
2770,mudano,has collected,small dataset of project status updates across number of it transformation projects
2771,us,train,high performance language models
2772,mudano,has collected,dataset of project status updates across number
2773,mudano,has collected,small dataset across number
2774,us,train custom language model in,matter
2775,india,is in,word cloud
2776,kurtosis,is,however minimized
2777,pca,finding,direction of maximum variance
2778,kurtosis,is,maximized
2779,kurtosis,is,however when minimized
2780,kurtosis,is,when maximized
2781,kurtosis,is,when minimized
2782,pca,does,this
2783,kurtosis,is,minimized
2784,ppa,struggles with,fitting
2785,pca,finding direction in,your data
2786,pca,finding,direction
2787,ppa,also struggles with,fitting
2788,tokenizer,once fitted to,data
2789,tokenizer,fitted to,data
2790,30,phd in,maths
2791,us,develop,order models
2792,one,should always take peek at,data available
2793,us,develop easily,high order models
2794,us,develop very easily,high order models
2795,keras,is part of,tensorflow
2796,keras,is,part
2797,us,develop easily,order models
2798,us,develop very easily,order models
2799,one,should take peek as,practice
2800,one,should always take peek as,best practice
2801,us,add,three layers
2802,one,should always take peek at,data
2803,one,should take peek as,best practice
2804,one,should take peek at,data
2805,one,should always take peek as,practice
2806,one,should take peek at,data available
2807,one,should take,peek
2808,one,should always take,peek
2809,us,develop,high order models
2810,zscore scaling,score,data
2811,zscore scaling,was,used
2812,zscore scaling,was used on,box office revenue
2813,bigan,is,particularly attractive
2814,bigan,is,attractive
2815,indiana,is,outlier
2816,indiana,is,indeed outlier
2817,collection.we,use,same steps
2818,collection.we,use,steps
2819,indiana,losing,pell students
2820,swat,acts as,bridge between python language to cas action sets
2821,swat,acts as,bridge to cas action sets
2822,swat,acts as,bridge between python language
2823,swat,acts as,bridge
2824,nnabla,is,deviceready
2825,textual analytics,would,would useful
2826,textual analytics,would,would also useful in comparative analysis of regulations between jurisdictions
2827,textual analytics,would,would also useful in comparative analysis
2828,textual analytics,would,would useful in analysis of regulations
2829,textual analytics,would,would also useful in comparative analysis of regulations
2830,textual analytics,would,would also useful in analysis of regulations between different jurisdictions
2831,textual analytics,would,would also useful
2832,textual analytics,would,would useful in comparative analysis of regulations between jurisdictions
2833,textual analytics,would,would useful in comparative analysis of regulations between different jurisdictions
2834,textual analytics,would,would useful in comparative analysis of regulations
2835,textual analytics,would,would useful in analysis
2836,textual analytics,would,would also useful in analysis of regulations between jurisdictions
2837,textual analytics,would,would also useful in analysis of regulations
2838,textual analytics,would,would useful in analysis of regulations between jurisdictions
2839,textual analytics,would,would useful in analysis of regulations between different jurisdictions
2840,textual analytics,would,would also useful in comparative analysis of regulations between different jurisdictions
2841,textual analytics,would,would also useful in analysis
2842,textual analytics,would,would useful in comparative analysis
2843,ucl,is in,london
2844,edm,have,la
2845,la,is on,generally two premises
2846,la,is on,two premises
2847,ibm,is losing,its classic government
2848,ibm,is losing,its government
2849,google analytics,has,traffic by geographic location
2850,google analytics,has,traffic
2851,google analytics,has,traffic by location
2852,mode,converting,results
2853,mode,makes,switching between two seamless
2854,mode,converting,results of our queries
2855,us,access,them
2856,mode,makes,switching between two pretty seamless
2857,mode,converting results into,python objects
2858,mode,makes,switching
2859,cabs,is in,atlanta wasn t
2860,turi,create on,other hand
2861,turi,create,powerful tool
2862,turi,create on,hand
2863,turi,create,tool
2864,turi,create,very powerful tool
2865,david baker,is one of,pioneers
2866,david baker,is one,pioneers
2867,jake vanderplas,has,article
2868,jake vanderplas,has,great article
2869,bias,are in,tradeoff relationship
2870,lambda,is,equal
2871,mse,traced by,lambda
2872,gcn,representations for,nodes
2873,gcn,can find representations during,graph convolution
2874,gcn,can find,representations for nodes
2875,gcn,can achieve,separation
2876,gcn,using,graph structure
2877,gcn,can achieve separation in,homophilic graph
2878,gcn,just using,graph structure
2879,1paper,called,classification with graph convolutional networks
2880,1paper,called,semisupervised classification with graph networks
2881,gcn,can achieve separation in,graph
2882,gcn,representations for,labeled nodes
2883,1paper,called,classification
2884,gcn,can find,representations
2885,1paper,called by,thomas kipf
2886,gcn,can find,representations for labeled nodes
2887,1paper,called classification by,thomas kipf
2888,1paper,called,semisupervised classification with graph convolutional networks
2889,gcn,can achieve,good separation
2890,1paper,called,semisupervised classification
2891,gcn,is trained for,250 epochs
2892,1paper,called,classification with graph networks
2893,gcn,is,trained
2894,2,would solve,problems
2895,1,improve further,them
2896,2,would also solve,problems
2897,1,improve,them
2898,2,would also solve,legal problems
2899,2,would solve,legal problems
2900,rifkin,writes at_time,today
2901,1,improve even further,them
2902,1,find,images
2903,r2,coefficient of,determination
2904,al 2016,illustrated selfattention rnn lstm on,word embeddings tutorial on linear regression with gradient descent
2905,al 2016,illustrated selfattention rnn lstm on,word embeddings tutorial on linear regression
2906,al 2016,illustrated selfattention rnn lstm on,word embeddings stepbystep tutorial on linear regression with gradient descent
2907,al 2016,illustrated selfattention rnn lstm on,word embeddings stepbystep tutorial
2908,al 2016,illustrated,selfattention rnn lstm
2909,al 2016,illustrated selfattention rnn lstm on,word embeddings tutorial on regression
2910,al 2016,illustrated selfattention rnn lstm on,word embeddings stepbystep tutorial on regression with gradient descent
2911,al 2016,illustrated,selfattention animated rnn lstm
2912,al 2016,illustrated selfattention rnn lstm on,word embeddings stepbystep tutorial on linear regression
2913,al 2016,illustrated selfattention rnn lstm on,word embeddings tutorial
2914,al 2016,illustrated selfattention rnn lstm on,word embeddings tutorial on regression with stochastic gradient descent
2915,al 2016,illustrated selfattention rnn lstm on,word embeddings tutorial on linear regression with stochastic gradient descent
2916,al 2016,illustrated selfattention rnn lstm on,word embeddings stepbystep tutorial on regression
2917,al 2016,illustrated selfattention rnn lstm on,word embeddings stepbystep tutorial on linear regression with stochastic gradient descent
2918,al 2016,illustrated selfattention rnn lstm on,word embeddings stepbystep tutorial on regression with stochastic gradient descent
2919,al 2016,illustrated selfattention rnn lstm on,word embeddings tutorial on regression with gradient descent
2920,pca,identifying,eigenvalues
2921,pca,is method of,data into uncorrelated components
2922,pca,is,method
2923,pca,is method of,decomposing data
2924,pca,is method of,decomposing data into components
2925,pca,is method of,data into components
2926,pca,is method of,data
2927,mode,is,value
2928,mode,is,usually only relevant
2929,mode,is,usually relevant
2930,mode,is,only relevant
2931,mode,is,common value
2932,mode,is,relevant
2933,mode,is common value in,dataset
2934,mode,is value in,dataset
2935,mode,is most common value in,dataset
2936,mode,is,most common value
2937,shay,is,data science consultant
2938,preston lim,is,software engineer
2939,preston lim,is,software engineer by night
2940,preston lim,is,software engineer by day by night
2941,preston lim,is,software engineer by day by night
2942,preston lim,is,software engineer by day
2943,jacopo isitalian,is,TRUE
2944,inferenceparadigm,generalizes as,question complexity increases
2945,jacopo isitalian,is,where true
2946,inferenceparadigm,generalizes predictably well as,question complexity increases
2947,inferenceparadigm,generalizes well as,question complexity increases
2948,ucl,is in,london
2949,word2vec,is,neural
2950,s1,is maximum of,4 similarity scores
2951,ben weber,is,principal data scientist
2952,ben weber,is,principal data scientist at zynga
2953,ben weber,is,data scientist
2954,ben weber,is,data scientist at zynga
2955,2.2,stacked gru with,5 units
2956,2.2,stacked gru with,5 hidden units
2957,2.2,stacked,gru
2958,2.2,stacked,bidirectional gru
2959,93,compared to,score 96 train data
2960,93,compared to,score 96
2961,93,compared to,score train data
2962,93,compared to,score 96 train data set
2963,93,compared to,score
2964,93,compared to,score train data set
2965,28 pixel,is in,height
2966,3tuples,contain,now we can loop
2967,3tuples,contain,we can loop over datasets
2968,nih,has malaria dataset with,number of parasitized cells
2969,nih,has,malaria dataset
2970,nih,has malaria dataset with,number of cells
2971,nih,has,malaria dataset of 27558 cell images
2972,valgen,does,same
2973,nih,has malaria dataset with,equal number
2974,valgen,does,same for validation data
2975,3tuples,contain,we can loop
2976,nih,has malaria dataset with,equal number of cells
2977,nih,has malaria dataset with,equal number of parasitized cells
2978,nih,has malaria dataset with,number
2979,3tuples,contain,now we can loop over datasets
2980,ga,are,mathematical
2981,s,inspect,one type
2982,s,inspect,one type of data
2983,deeplens,is already integrated with,aws lambda
2984,app,edit,it
2985,deeplens,is,already integrated
2986,deeplens,is,integrated
2987,deeplens,is integrated with,aws lambda
2988,bollen,used,one datasets released
2989,bollen,used,one datasets released by google
2990,bollen,used,one of datasets released by google
2991,bollen,used,one of datasets released
2992,bollen,used,one of datasets
2993,bollen,used,one datasets
2994,splunk,used,tensorflow keras
2995,librosa,is,free
2996,advanced analytics,is in,banking
2997,first,is,development
2998,first,is development of,software
2999,first,is traditional development of,software
3000,first,is,traditional development
3001,one,releases,worldclass data scientist
3002,one,releases,data scientist
3003,daytoday,name,few
3004,daytoday,name,just few
3005,one,recall,chernobyl
3006,daytoday,automation of,health education energy provision law enforcement economics
3007,airbnb,recognized,this
3008,don t,always produce,same output
3009,don t,produce,output
3010,don t,always produce,output
3011,don t,produce,same output
3012,one,can find,key opinion leaders
3013,one,can find,opinion leaders
3014,one,can find opinion leaders for,example
3015,recall k,is metric for,recommender systems
3016,tensorrec,is,python package
3017,recall k,is nice metric for,many recommender systems
3018,recall k,is nice metric for,recommender systems
3019,recall k,is metric for,many recommender systems
3020,tensorrec,use,wmrb
3021,bqml,evaluate,our models
3022,bqml,provides,functions
3023,one,only needs,know
3024,one,know,standard sql
3025,bqml,provides,several functions
3026,google analytics,test,data set
3027,one,needs,know
3028,google analytics,test,data
3029,one,know,sql
3030,numpy,is in,depth
3031,series,is,onedimensional
3032,praw,is,short
3033,2585,were,classified
3034,2585,were,classified correctly
3035,accuracyf1,be,reached
3036,one,needs,consider
3037,one,should think of,objective of clustering
3038,one,should think of,objective
3039,random forest,is,ensemble model
3040,heatmaps,exploring,correlation in dataset
3041,heatmap,is,graphical
3042,heatmaps,are,perfect
3043,heatmaps,exploring,correlation
3044,heatmaps,exploring,correlation of features in dataset
3045,heatmap,is,representation
3046,heatmaps,exploring,correlation of features
3047,heatmap,is,graphical representation
3048,kmeans,is,used clustering algorithm
3049,kmeans,is,widely used clustering algorithm
3050,kmeans,is,used
3051,textual data,needs,transformed
3052,textual data,be transformed into,form
3053,textual data,needs,transformed into numeric form
3054,textual data,be transformed into,numeric form
3055,textual data,needs by,means
3056,textual data,be,transformed
3057,textual data,needs,transformed into form
3058,textual data,needs for,that
3059,timnit gebru,advocates for,datasheets for datasetsso
3060,timnit gebru,now advocates for,datasheets
3061,timnit gebru,advocates for,datasheets
3062,timnit gebru,now advocates for,datasheets for datasetsso
3063,today,provided by,amazon s aws google s cloud platform microsoft s azure
3064,today,provided by,amazon s aws google s cloud platform microsoft s azure
3065,mse,was,excluded
3066,days,has,mean
3067,days,has,mean of 12.48
3068,quandl,has,python sdk for their api gettingstarted
3069,quandl,has,python sdk for their api
3070,quandl,has,python sdk
3071,quandl,has,simple python sdk
3072,quandl,has,simple python sdk for their api gettingstarted
3073,quandl,has,simple python sdk for their api
3074,200ms,reduces sort time to,500ms
3075,200ms,reduces,sort time
3076,millions,leaving,platform
3077,millions,leaving platform in,2017
3078,alexnet,contained,8 network layers 5 convolutional
3079,alexnet,contained,8 network layers 5
3080,alexnet,contained,8 neural network layers 5 convolutional
3081,alexnet,contained,8 neural network layers 5
3082,nltk,has,several algorithm implementations
3083,nltk,has,several stemming algorithm implementations
3084,nltk,has,stemming algorithm implementations
3085,nltk,has,algorithm implementations
3086,two,have,tradeoff
3087,two,have,tradeoff of accuracy
3088,max,pooling,1 convolutional block 2 conv21 128 filters
3089,max,pooling,3 convolutional block 4 conv41 512 filters
3090,max,pooling,5
3091,layer x,is,comprised
3092,max,pooling,2 convolutional block 3 conv31 256 filters
3093,max,pooling,3 block 4 conv41 512 filters
3094,layer x,is comprised of,representation
3095,max,pooling,4 block 5 conv51 512 filters
3096,max,pooling,4 convolutional block 5 conv51 512 filters
3097,max,pooling,1 block 2 conv21 128 filters
3098,max,pooling,2 block 3 conv31 256 filters
3099,data analytics,must,must part of core business
3100,data analytics,integrated into,other business processes
3101,data analytics,must,must part
3102,data analytics,integrated into,business processes
3103,one,is,strong
3104,mae,is around,unfortunately value for models with advantage in favor of simple smoothing method 139
3105,mae,is around,value for models with advantage in favor of smoothing method 139
3106,mae,is around,value for models
3107,mae,is around,same value for models with advantage in favor of simple smoothing method 139 for croston
3108,mae,is around,unfortunately value for models with advantage in favor of smoothing method 139
3109,mae,is around,unfortunately value for models with slight advantage in favor of simple smoothing method 139
3110,mae,is around,same value for models
3111,mae,is around,unfortunately value for models with advantage in favor of smoothing method 139 for croston
3112,mae,is around,unfortunately value for models
3113,mae,is around,value for models with advantage in favor of smoothing method 139 for croston
3114,mae,is around,unfortunately value for models with advantage in favor
3115,mae,is around,value for models with slight advantage in favor of simple smoothing method 139 for croston
3116,mae,is around,value for models with slight advantage in favor of smoothing method 139 for croston
3117,mae,is around,same value for models with advantage in favor
3118,mae,is around,same value for models with advantage
3119,mae,is around,same value for models with slight advantage in favor
3120,mae,is around,value for models with slight advantage in favor of simple smoothing method 139
3121,mae,is around,unfortunately value for models with advantage in favor of smoothing method 139 for croston
3122,mae,is around,unfortunately same value for models with advantage in favor of simple smoothing method 139
3123,mae,is around,unfortunately same value for models with advantage in favor of smoothing method 139
3124,mae,is around,same value for models with slight advantage in favor of smoothing method 139
3125,mae,is around,unfortunately value for models with slight advantage in favor of smoothing method 139 for croston
3126,mae,is around,unfortunately same value for models with slight advantage in favor of simple smoothing method 139 for croston
3127,mae,is around,unfortunately same value for models with slight advantage in favor of smoothing method 139
3128,mae,is around,same value for models with advantage in favor of simple smoothing method 139 for croston
3129,mae,is around,same value for models with slight advantage
3130,mae,is around,same value for models with slight advantage in favor of simple smoothing method 139 for croston
3131,mae,is around,unfortunately value for models with advantage
3132,mae,is around,unfortunately same value for models with advantage in favor of smoothing method 139 for croston
3133,mae,is around,value for models with slight advantage in favor of smoothing method 139 for croston
3134,mae,is around,unfortunately value for models with slight advantage in favor of smoothing method 139 for croston
3135,mae,is around,unfortunately same value for models with slight advantage in favor of simple smoothing method 139
3136,mae,is around,unfortunately same value for models with slight advantage
3137,mae,is around,value for models with advantage in favor
3138,mae,is around,value for models with slight advantage in favor of smoothing method 139
3139,mae,is around,same value for models with advantage in favor of smoothing method 139 for croston
3140,mae,is around,unfortunately same value for models with slight advantage in favor of simple smoothing method 139 for croston
3141,mae,is around,same value for models with slight advantage in favor of simple smoothing method 139 for croston
3142,mae,is around,unfortunately value for models with slight advantage in favor
3143,mae,is around,same value for models with advantage in favor of smoothing method 139
3144,mae,is around,value for models with advantage in favor of simple smoothing method 139 for croston
3145,mae,is around,unfortunately same value for models with advantage in favor
3146,mae,is around,same value for models with slight advantage in favor of smoothing method 139 for croston
3147,mae,is around,value for models with slight advantage
3148,mae,is around,unfortunately same value for models with advantage
3149,mae,is around,unfortunately value for models with slight advantage
3150,mae,is around,unfortunately value for models with advantage in favor of simple smoothing method 139 for croston
3151,mae,is around,same value for models with advantage in favor of smoothing method 139 for croston
3152,mae,is around,value for models with advantage in favor of simple smoothing method 139
3153,mae,is around,unfortunately same value for models with advantage in favor of simple smoothing method 139 for croston
3154,mae,is around,unfortunately value for models with slight advantage in favor of simple smoothing method 139 for croston
3155,mae,is around,same value for models with slight advantage in favor of simple smoothing method 139
3156,mae,is around,same value for models with slight advantage in favor of smoothing method 139 for croston
3157,mae,is around,unfortunately value for models with slight advantage in favor of smoothing method 139
3158,mae,is around,unfortunately same value for models with slight advantage in favor of smoothing method 139 for croston
3159,mae,is around,value for models with advantage in favor of simple smoothing method 139 for croston
3160,mae,is around,unfortunately same value for models with advantage in favor of smoothing method 139 for croston
3161,mae,is around,unfortunately value for models with slight advantage in favor of simple smoothing method 139 for croston
3162,mae,is around,value for models with slight advantage in favor
3163,mae,is around,value for models with advantage in favor of smoothing method 139 for croston
3164,mae,is around,unfortunately same value for models with slight advantage in favor
3165,mae,is around,value for models with slight advantage in favor of simple smoothing method 139 for croston
3166,mae,is around,unfortunately same value for models
3167,mae,is around,unfortunately value for models with advantage in favor of simple smoothing method 139 for croston
3168,mae,is around,value for models with advantage
3169,mae,is around,same value for models with advantage in favor of simple smoothing method 139
3170,mae,is around,unfortunately same value for models with advantage in favor of simple smoothing method 139 for croston
3171,mae,is around,unfortunately same value for models with slight advantage in favor of smoothing method 139 for croston
3172,harvard,created,void
3173,lo,is in,2011 harvard business
3174,lo,is in,2011 harvard business
3175,harvard,created,void called
3176,point clouds,can efficiently describe,datasets for variety of situations
3177,point clouds,can efficiently describe,datasets
3178,point clouds,can describe,datasets for variety of situations
3179,point clouds,can describe,datasets for variety
3180,point clouds,can efficiently describe,spatial datasets
3181,point clouds,can efficiently describe,datasets for variety
3182,point clouds,can efficiently describe,spatial datasets for variety
3183,point clouds,can describe,spatial datasets for variety of situations
3184,point clouds,is in,complex environments
3185,point clouds,can efficiently describe,spatial datasets for variety of situations
3186,point clouds,can describe,datasets
3187,point clouds,can describe,spatial datasets for variety
3188,point clouds,can describe,spatial datasets
3189,1is,connect,advances with dcgans
3190,1is,connect,advances in rnn text
3191,app,is,facilitated due to sequential structure of text
3192,app,is,however greatly facilitated due to structure of text
3193,app,is,however facilitated due to sequential structure of text
3194,app,is,facilitated due to structure of text
3195,1is,connect,advances in rnn text with dcgans inspired
3196,1is,connect,advances in deep rnn text
3197,app,is,however greatly facilitated due to structure
3198,1is,connect,advances in deep rnn text with dcgans
3199,app,is,however greatly facilitated due to sequential structure
3200,app,is,greatly facilitated
3201,app,is,greatly facilitated due
3202,app,is,however facilitated
3203,1is,connect,advances with dcgans inspired by idea of conditionalgans
3204,app,is,facilitated due to sequential structure
3205,1is,connect,advances in rnn text with dcgans inspired by idea of conditionalgans
3206,app,is,however facilitated due to structure of text
3207,app,is,greatly facilitated due to sequential structure of text
